Epoch,all_loss,im_loss,psnr,re_loss
1,841.6307419996995,841.6307419996995,32.52734961496107,0.0
2,257.55648921086237,257.55648921086237,32.570567770147385,0.0
3,246.35057419996994,246.35057419996994,32.73263692111837,0.0
4,236.90897545447717,236.90897545447717,31.69041386250971,0.0
5,240.1088350736178,240.1088350736178,32.94300450324004,0.0
6,221.32904287484976,221.32904287484976,34.32210737167105,0.0
7,199.39417442908655,199.39417442908655,33.21289840895183,0.0
8,224.6369887131911,224.6369887131911,32.52086992789576,0.0
9,202.04497586763821,202.04497586763821,32.93112275926498,0.0
10,219.18484731820914,219.18484731820914,32.70578423956471,0.0
11,202.88243924654446,202.88243924654446,33.74934505427093,0.0
12,211.96670649601862,211.96670649601862,32.207812330107075,0.0
13,206.22067143366888,206.22067143366888,32.37064502878771,0.0
14,208.48346416766827,208.48346416766827,32.300068364894415,0.0
15,211.18312248816858,211.18312248816858,32.69948043340484,0.0
16,219.5495887169471,219.5495887169471,32.90450426245712,0.0
17,186.10362126277045,186.10362126277045,33.744707926121684,0.0
18,213.6243380033053,213.6243380033053,32.39532344208564,0.0
19,224.03929725060095,224.03929725060095,34.19654812368614,0.0
20,216.9772244966947,216.9772244966947,33.311136441352225,0.0
21,200.45885291466345,200.45885291466345,33.76052688556925,0.0
22,195.73819087101862,195.73819087101862,33.136099983296944,0.0
23,203.51680696927585,203.51680696927585,33.74771832795377,0.0
24,228.43788733849158,228.43788733849158,32.78842684016182,0.0
25,189.88968012883112,189.88968012883112,32.596989619502125,0.0
26,216.49929457444412,216.49929457444412,34.01124862245071,0.0
27,201.00915703406702,201.00915703406702,34.09674575092922,0.0
28,202.82706979604868,202.82706979604868,32.594718818299654,0.0
29,213.78644503079929,213.78644503079929,32.661036791986035,0.0
30,213.98306274414062,213.98306274414062,33.47317434623933,0.0
31,209.38480083759015,209.38480083759015,32.683428279391414,0.0
32,214.95721435546875,214.95721435546875,33.09255032078467,0.0
33,218.87957998422476,218.87957998422476,33.732799830564254,0.0
34,212.84537212665265,212.84537212665265,32.28254669825378,0.0
35,199.94892061673679,199.94892061673679,33.47377332615046,0.0
36,200.5952594463642,200.5952594463642,32.82899181989087,0.0
37,200.82135479266827,200.82135479266827,34.12685426386633,0.0
38,190.83761244553787,190.83761244553787,35.1581067432456,0.0
39,222.45530348557693,222.45530348557693,33.45989123755315,0.0
40,193.31343900240384,193.31343900240384,33.54026657811344,0.0
41,209.85555091271033,209.85555091271033,34.32030762697205,0.0
42,206.89378239558295,206.89378239558295,32.97222822721142,0.0
43,194.28128462571365,194.28128462571365,33.3968750379984,0.0
44,217.82765080378607,217.82765080378607,32.8990637899301,0.0
45,208.53917752779446,208.53917752779446,33.48394003781217,0.0
46,198.4693098801833,198.4693098801833,32.54354030921401,0.0
47,217.49524395282452,217.49524395282452,32.14567988268558,0.0
48,207.0354731633113,207.0354731633113,33.65629044435116,0.0
49,208.2248042179988,208.2248042179988,34.519402813458996,0.0
50,216.09234619140625,216.09234619140625,32.09625676315686,0.0
51,201.03106572077826,201.03106572077826,32.156289480960154,0.0
52,208.19549677922174,208.19549677922174,33.40246827183974,0.0
53,217.45669555664062,217.45669555664062,33.40710509472293,0.0
54,203.94476083608774,203.94476083608774,32.84670981253856,0.0
55,188.65052325908954,188.65052325908954,34.049090574120626,0.0
56,211.32671767014725,211.32671767014725,32.49368239248377,0.0
57,204.16272911658655,204.16272911658655,32.93810343208478,0.0
58,215.62989220252405,215.62989220252405,32.89892590943252,0.0
59,200.13033822866586,200.13033822866586,32.657844620908904,0.0
60,209.40457094632663,209.40457094632663,33.272488499360364,0.0
61,206.72371497521033,206.72371497521033,32.13634794565317,0.0
62,199.45665212777945,199.45665212777945,32.780849647564004,0.0
63,206.2180434006911,206.2180434006911,33.66936426420266,0.0
64,198.82454857459436,198.82454857459436,34.018158745287664,0.0
65,201.90745779184195,201.90745779184195,34.909498669812095,0.0
66,198.6714853140024,198.6714853140024,33.53178330219023,0.0
67,216.56310859093298,216.56310859093298,32.88470017536188,0.0
68,192.0085965670072,192.0085965670072,32.7782580619719,0.0
69,207.32872596153845,207.32872596153845,32.71030607343456,0.0
70,210.23927659254807,210.23927659254807,34.38853718838197,0.0
71,186.603515625,186.603515625,34.77820870588529,0.0
72,180.19283940241888,180.19283940241888,33.527161988679886,0.0
73,206.0962853064904,206.0962853064904,33.46794871076582,0.0
74,193.30352078951321,193.30352078951321,34.623495509460646,0.0
75,188.01490901066705,188.01490901066705,35.04380321942757,0.0
76,187.3993401160607,187.3993401160607,34.46129393831052,0.0
77,202.8770247239333,202.8770247239333,33.67094182803036,0.0
78,193.99578857421875,193.99578857421875,35.04666847333012,0.0
79,197.49677922175482,197.49677922175482,34.41314453461968,0.0
80,190.34466435359076,190.34466435359076,33.67210778214662,0.0
81,199.27436711237982,199.27436711237982,34.16752371728221,0.0
82,188.43902940016525,188.43902940016525,35.20137513543787,0.0
83,177.43028141902045,177.43028141902045,36.441405002264645,0.0
84,163.39632591834436,163.39632591834436,34.67460687715066,0.0
85,178.72173368013821,178.72173368013821,34.87995362107887,0.0
86,178.32845130333533,178.32845130333533,35.868590766876636,0.0
87,183.83584829477164,183.83584829477164,36.27824189762431,0.0
88,168.33906907301682,168.33906907301682,35.61471278685915,0.0
89,175.92127169095554,175.92127169095554,34.53878252233058,0.0
90,186.58848923903244,186.58848923903244,36.09030813862672,0.0
91,169.16885082538312,169.16885082538312,37.20364325046408,0.0
92,187.52921236478366,187.52921236478366,35.63901868465122,0.0
93,182.57067401592548,182.57067401592548,36.40166341565872,0.0
94,177.8436737060547,177.8436737060547,37.30079354170624,0.0
95,170.29303213266226,170.29303213266226,36.7761265507909,0.0
96,168.3574465238131,168.3574465238131,36.784612930488954,0.0
97,147.15560208834134,147.15560208834134,37.31769704506263,0.0
98,156.08152770996094,156.08152770996094,37.10708533710981,0.0
99,153.1401619544396,153.1401619544396,37.14489306016368,0.0
100,160.5419921875,160.5419921875,36.786653720478064,0.0
101,161.38435246394232,161.38435246394232,39.18062605259267,0.0
